Failure Name,NGA_Link,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
8fae7f05,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/8fae7f05-1818-4517-a8c7-1ea47b4b611a,ba05wvaw0219,PreBoot,,DefaultFlowBasicTest,8fae7f05-1818-4517-a8c7-1ea47b4b611a,NA,,[]
de582f5d,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/de582f5d-5931-478c-a015-a04fa5825cf9,ba05wvaw0250,PreBoot,,DefaultFlowBasicTest,de582f5d-5931-478c-a015-a04fa5825cf9,NA,,[]
93a40929,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/93a40929-d20e-4518-981d-559eea33f5b5,ba05wvaw0239,PreBoot,,DefaultFlowBasicTest,93a40929-d20e-4518-981d-559eea33f5b5,NA,,[]
70aa6a2d,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/70aa6a2d-25db-47f3-9276-e81f0203cc58,ba05wvaw0236,PreBoot,,CI_GNR_D_DF,70aa6a2d-25db-47f3-9276-e81f0203cc58,NA,,[]
0c279c67,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/0c279c67-8f97-4969-8c7a-29cb8b6be04e,ba05wvaw0244,PreBoot,,CI_GNR_D_DF,0c279c67-8f97-4969-8c7a-29cb8b6be04e,NA,,[]
22a5e5f1,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/22a5e5f1-fdf1-49ab-8628-9caa5e85fc96,ba05wvaw0283,PreBoot,,DefaultFlowBasicTest,22a5e5f1-fdf1-49ab-8628-9caa5e85fc96,NA,,[]
0aafaff3,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/0aafaff3-744d-4a15-8716-96b3a6d10fba,ba05wvaw0290,PreBoot,,DefaultFlowBasicTest,0aafaff3-744d-4a15-8716-96b3a6d10fba,NA,,[]
4da93cc7,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/4da93cc7-5f9c-465a-8d83-f059c3d81184,ba05wvaw0241,PreBoot,,DefaultFlowBasicTest,4da93cc7-5f9c-465a-8d83-f059c3d81184,NA,,[]
bbe0c8c5,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/bbe0c8c5-6fe7-4dfb-bd36-977d3763d1dc,ba05wvaw0289,PreBoot,,DefaultFlowBasicTest,bbe0c8c5-6fe7-4dfb-bd36-977d3763d1dc,NA,,[]
0d929ab4,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/0d929ab4-1d6c-44af-bfdf-ed40cf5ab0fd,ba05wvaw0232,PostTest,4c71c5ba-2242-5204-4b15-490ee874f172,DefaultFlowBasicTest,0d929ab4-1d6c-44af-bfdf-ed40cf5ab0fd,NA,https://axonsv.app.intel.com/apps/record-viewer/4c71c5ba-2242-5204-4b15-490ee874f172,"['HW.MCE', 'HW.CORR', 'HW.CFG.ERR', 'HW.ERR', 'HW', 'HW.MCE.IIO']"
ebef16d3,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/ebef16d3-c145-45ee-99f3-a373a243fbce,ba05wvaw0278,PostTest,1d9ec1fe-c145-4273-af9d-a287f92a6e6f,CI_GNR_D_DF,ebef16d3-c145-45ee-99f3-a373a243fbce,NA,https://axonsv.app.intel.com/apps/record-viewer/1d9ec1fe-c145-4273-af9d-a287f92a6e6f,"['HW.CORR', 'HW.ERR', 'HW.CFG.ERR', 'HW']"
6eaf6c4e,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/6eaf6c4e-a158-4f0c-9a1a-c987ad4d5431,ba05wvaw0232,PostTest,4906660b-1bd8-45ca-b472-6967ba0b82ef,DefaultFlowBasicTest,6eaf6c4e-a158-4f0c-9a1a-c987ad4d5431,NA,https://axonsv.app.intel.com/apps/record-viewer/4906660b-1bd8-45ca-b472-6967ba0b82ef,"['HW.CORR', 'HW.CFG.ERR', 'HW.ERR', 'HW']"
d82227ee,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/d82227ee-0688-4993-b624-d9892d77d8c2,ba05wvaw0278,PostTest,f28ec45c-7692-4103-827f-5898d2e96904,CI_GNR_D_DF,d82227ee-0688-4993-b624-d9892d77d8c2,NA,https://axonsv.app.intel.com/apps/record-viewer/f28ec45c-7692-4103-827f-5898d2e96904,"['HW.CORR', 'HW.ERR', 'HW.CFG.ERR', 'HW']"
361a93c6,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/361a93c6-eefd-41c3-9146-ba04e68da148,ba05wvaw0232,PostTest,9491d254-793a-4ca1-a746-931ce2efa1af,DefaultFlowBasicTest,361a93c6-eefd-41c3-9146-ba04e68da148,NA,https://axonsv.app.intel.com/apps/record-viewer/9491d254-793a-4ca1-a746-931ce2efa1af,"['HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.ERR']"
57706e45,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/57706e45-8779-496d-a901-8ae8e09757be,ba05wvaw0278,PostTest,30a739d9-297f-4ce9-b90b-c2c02892ec56,CI_GNR_D_DF,57706e45-8779-496d-a901-8ae8e09757be,NA,https://axonsv.app.intel.com/apps/record-viewer/30a739d9-297f-4ce9-b90b-c2c02892ec56,"['HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.ERR']"
7820fbea,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/7820fbea-38c5-4e4b-882a-e89ba655aaac,ba05wvaw0232,PostTest,8f3f4aec-7610-4263-a0c0-fb5267fc84bb,DefaultFlowBasicTest,7820fbea-38c5-4e4b-882a-e89ba655aaac,NA,https://axonsv.app.intel.com/apps/record-viewer/8f3f4aec-7610-4263-a0c0-fb5267fc84bb,"['HW.CORR', 'HW.ERR', 'HW.CFG.ERR', 'HW']"
2f34624d,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/2f34624d-9f75-40e0-82d1-80e1b72985c6,ba05wvaw0278,PostTest,b5a18a8e-ceb7-49c3-9262-cfa6f24d9301,CI_GNR_D_DF,2f34624d-9f75-40e0-82d1-80e1b72985c6,NA,https://axonsv.app.intel.com/apps/record-viewer/b5a18a8e-ceb7-49c3-9262-cfa6f24d9301,"['HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.ERR']"
7133271c,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/7133271c-5493-4129-aaf7-ce09c6e6ffee,ba05wvaw0232,Test,4a7daa92-0d9c-4916-8504-271fd1d92723,DefaultFlowBasicTest,7133271c-5493-4129-aaf7-ce09c6e6ffee,NA,https://axonsv.app.intel.com/apps/record-viewer/4a7daa92-0d9c-4916-8504-271fd1d92723,"['HW.CORR', 'HW', 'HW.ERR', 'HW.CFG.ERR']"
cc3c915d,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/cc3c915d-b474-4faa-bf58-0ebce35f88a8,ba05wvaw0232,Test,0fc5fa28-c8a8-4a52-83ae-d7d953df3a90,DefaultFlowBasicTest,cc3c915d-b474-4faa-bf58-0ebce35f88a8,NA,https://axonsv.app.intel.com/apps/record-viewer/0fc5fa28-c8a8-4a52-83ae-d7d953df3a90,"['HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.ERR']"
